VM;Powerstate;Template;CPUs;NICs
0_11042023_CR20538778_SEESMTSAPAUP373;poweredOff;False;2;1
0_BAJA_04012024_CR20707755_SEESMTSDBAUT003;poweredOff;False;8;1
0_BAJA_04012024_CR20707755_SEESMTSSAAUT006;poweredOff;False;16;1
0_BAJA_04012024_CR20707755_SEESMTSSAAUT008;poweredOff;False;12;1
0_BAJA_04012024_CR20707755_SEESMTSSAAUT009;poweredOff;False;2;1
0_BAJA_07082023_CR20613015_ESEATMASV00350;poweredOn;False;6;1
0_BAJA_08052023_OPERACIONES_CR20553920_ESEATMAUV00166;poweredOff;False;12;1
0_BAJA_08112023_CR20683657_SEESMTSWEAWP017;poweredOff;False;8;1
0_BAJA_08112023_CR20683657_SEESMTSWEAWP018;poweredOff;False;8;1
0_BAJA_08112023_CR20683718_SEESMTSSAAWC026;poweredOff;False;4;1
0_BAJA_08112023_CR20683718_SEESMTSWEAWP016;poweredOff;False;4;1
0_BAJA_15112023_OPERACIONES_CR20689516_SEESMTSSAAWP094;poweredOff;False;4;1
0_BAJA_23102023_CR20656967_mandml1srv06;poweredOff;False;2;1
0_BAJA_25102023_OPERACIONES_CR20675188_ESEATMASV00027;poweredOff;False;4;1
0_BAJA_25112023_CR20697304_WINTEL_ESEATMASV00254;poweredOff;False;2;1
0_BAJA_SEESMTSSGAOP218-V7;poweredOff;False;8;2
0_CLON_02012024_UNIX_CR20707022_ESEATMASV00091;poweredOff;False;2;1
0_CLON_02012024_UNIX_CR20707022_ESEATMASV00091_new;poweredOff;False;2;1
0_CLON_02012024_WINTEL_CR20707022_ESEATMASV01261;poweredOff;False;2;1
0_CLON_18112023_CR20684721_ESEATMASV01110;poweredOff;False;4;1
0_CLON_18112023_CR20684721_ESEATMASV01115;poweredOff;False;2;1
0_CLON_25092023_SEESMTSDBAUC009_PREISOLATED_SAT;poweredOff;False;2;1
0_CLON_25092023_SEESMTSSAAUC015_PREISOLATED_SAT;poweredOff;False;4;1
0_clon_old_IR18791636_mtsdevsrv01;poweredOff;False;2;1
0_CLON_SEESMTSWEBWP697;poweredOff;False;4;1
0_ESEATMAPOC00006_restore;poweredOn;False;2;1
0_ESEATMASV00091_old;poweredOff;False;2;1
0_eseatmasv00224_new_DAVID_MUNOZ;poweredOn;False;2;1
0_PRUEBA_TEMPLATE_WINTEL_DCA;poweredOff;True;4;1
0_SALVA_clon_analisis_segu_19012024_afectado_seguridad_Ivanti_SEESMTSCOAWP719;poweredOff;False;12;1
0_SEESMTSAPAWP629_IR15252632_NO_ARRANCAR;poweredOff;False;4;1
0_seesmtsdbaup404_clon_03032023;poweredOff;False;2;1
0_SEESMTSSAAWP055_restored;poweredOff;False;2;1
0_SEESMTSSAAWP669_OLD;poweredOff;False;4;1
0_SEESMTSSAAWP787_sift;poweredOn;False;4;1
0_SEESMTSWFAWP001_old_06112023;poweredOn;False;4;1
0_TEMPLATE_RH89_SEESMTSWVAUT026;poweredOff;False;2;2
0_TEMPLATE_SEESMTSDCAWPXXX;poweredOff;True;4;1
0_Template_veeam_proxy_HCI_CROS_STR;poweredOff;True;4;1
0_Template_veeam_proxy_HCI_DCAB;poweredOff;True;4;1
